nk,other_nk,species,country,Year1_Jan2017,Year2_Nov2017-Jan2018,Year3_Dec2018-Jan2019,ch,tagging_day,tagging_month,tagging_year,coll_day,coll_month,coll_year,tracking_device_type,trackingID,tagging_age,coll_age,sex
252113,,Patagona_gigas,Chile,1,0,0,100,15,January,2017,,,,geolocator,BC365,adult,,unknown
252114,,Patagona_gigas,Chile,1,0,0,100,15,January,2017,,,,geolocator,BC373,juvenile,,unknown
252115,,Patagona_gigas,Chile,1,0,0,100,15,January,2017,,,,geolocator,BC370,juvenile,,unknown
252116,,Patagona_gigas,Chile,1,0,0,100,15,January,2017,,,,geolocator,BC364,juvenile,,unknown
252117,,Patagona_gigas,Chile,1,0,0,100,15,January,2017,,,,geolocator,BC374,juvenile,,unknown
252118,279140,Patagona_gigas,Chile,1,0,1,101,15,January,2017,21,January,2019,geolocator,BC377,adult,adult,male
252119,,Patagona_gigas,Chile,1,0,0,100,15,January,2017,,,,geolocator,BC369,juvenile,,unknown
252120,,Patagona_gigas,Chile,1,0,0,100,16,January,2017,,,,geolocator,BC362,juvenile,,unknown
252121,,Patagona_gigas,Chile,1,0,0,100,16,January,2017,,,,geolocator,BC379,juvenile,,unknown
252122,,Patagona_gigas,Chile,1,0,0,100,16,January,2017,,,,geolocator,BC385,adult,,unknown
252123,,Patagona_gigas,Chile,1,0,0,100,16,January,2017,,,,geolocator,BC375,adult,,unknown
252124,,Patagona_gigas,Chile,1,0,0,100,17,January,2017,,,,geolocator,BC382,adult,,unknown
252125,,Patagona_gigas,Chile,1,0,0,100,17,January,2017,,,,geolocator,BC371,adult,,unknown
252126,,Patagona_gigas,Chile,1,0,0,100,18,January,2017,,,,geolocator,BC376,adult,,unknown
252127,,Patagona_gigas,Chile,1,0,0,100,20,January,2017,,,,geolocator,BC367,adult,,unknown
252128,,Patagona_gigas,Chile,1,0,0,100,21,January,2017,,,,geolocator,BC383,adult,,unknown
252129,,Patagona_gigas,Chile,0,1,0,010,24,November,2017,,,,geolocator,BJ092,adult,,unknown
252130,,Patagona_gigas,Chile,0,1,0,010,24,November,2017,,,,geolocator,BJ094,adult,,unknown
252131,,Patagona_gigas,Chile,0,1,0,010,26,November,2017,,,,geolocator,BJ089,adult,,unknown
252132,,Patagona_gigas,Chile,0,1,0,010,26,November,2017,,,,geolocator,BJ097,adult,,unknown
252133,,Patagona_gigas,Chile,0,1,0,010,29,November,2017,,,,geolocator,BJ086,adult,,unknown
252134,,Patagona_gigas,Chile,0,1,1,011,30,November,2017,7,December,2018,geolocator,BJ085,adult,,male
252135,,Patagona_gigas,Chile,0,1,0,010,30,November,2017,,,,geolocator,BJ093,adult,,unknown
252136,,Patagona_gigas,Chile,0,1,0,010,30,November,2017,,,,geolocator,BJ087,adult,,unknown
252137,,Patagona_gigas,Chile,0,1,0,010,16,January,2018,,,,geolocator,BJ095,juvenile,,unknown
252138,,Patagona_gigas,Chile,0,1,0,010,17,January,2018,,,,geolocator,BJ101,adult,,unknown
252139,,Patagona_gigas,Chile,0,1,0,010,17,January,2018,,,,geolocator,BJ098,juvenile,,unknown
252140,,Patagona_gigas,Chile,0,1,0,010,18,January,2018,,,,geolocator,BJ099,juvenile,,unknown
252141,,Patagona_gigas,Chile,0,1,0,010,18,January,2018,,,,geolocator,BJ102,juvenile,,unknown
252142,,Patagona_gigas,Chile,0,1,0,010,21,January,2018,,,,geolocator,BJ100,juvenile,,unknown
252143,,Patagona_gigas,Chile,0,1,0,010,21,January,2018,,,,geolocator,BJ107,juvenile,,unknown
252144,279172,Patagona_gigas,Chile,0,1,1,011,23,January,2018,30,January,2019,geolocator,BJ090,juvenile,adult,female
252145,,Patagona_gigas,Chile,0,1,0,010,24,January,2018,,,,geolocator,BJ103,juvenile,,unknown
252146,,Patagona_gigas,Chile,0,1,0,010,27,January,2018,,,,geolocator,BJ088,juvenile,,unknown
252147,,Patagona_gigas,Chile,0,1,0,010,27,January,2018,,,,geolocator,BJ096,adult,,unknown
252148,,Patagona_gigas,Chile,0,1,1,011,27,January,2018,9,December,2018,geolocator,BJ104,adult,,female
252149,,Patagona_gigas,Chile,0,1,0,010,28,January,2018,,,,geolocator,BJ108,adult,,unknown
252150,,Patagona_gigas,Chile,0,1,0,010,30,January,2018,,,,geolocator,BJ109,juvenile,,unknown
252151,,Patagona_gigas,Chile,0,1,0,010,30,January,2018,,,,geolocator,BJ110,adult,,unknown
252152,279112,Patagona_gigas,Chile,0,1,1,011,31,January,2018,17,January,2019,geolocator,BJ091,juvenile,adult,male
252153,,Patagona_gigas,Chile,0,1,0,010,1,February,2018,,,,geolocator,BJ111,adult,,unknown
252154,,Patagona_gigas,Chile,0,1,0,010,1,February,2018,,,,geolocator,BJ114,adult,,unknown
252155,,Patagona_gigas,Chile,0,1,0,010,6,February,2018,,,,geolocator,BJ113,juvenile,,unknown
252156,279121,Patagona_gigas,Chile,0,1,1,011,7,February,2018,18,January,2019,geolocator,BJ112,juvenile,adult,male
252157,,Patagona_gigas,Chile,0,1,0,010,10,February,2018,,,,geolocator,BJ106,juvenile,,unknown
252158,279105,Patagona_gigas,Chile,0,1,1,011,11,February,2018,17,January,2019,geolocator,BJ105,adult,adult,male
252159,,Patagona_gigas,Chile,0,1,0,010,11,February,2018,,,,geolocator,BJ115,juvenile,,unknown
279111,,Patagona_gigas,Chile,0,0,1,001,17,January,2019,,,,satellite_transmitter,PTT177846,adult,,unknown
279129,,Patagona_gigas,Chile,0,0,1,001,19,January,2019,,,,satellite_transmitter,PTT177845,adult,,unknown
