nk,other_nk,device_ID,mass,mass_type,gain_loss,capture_time,capture_month,notes
252152,279112,BJ091,23.2,initial,gain,1640,January,
252144,279172,BJ090,18.3,initial,gain,2115,January,
252156,279121,BJ112,23.1,initial,gain,740,February,
252148,NA,BJ104,17.5,initial,gain,1230,January,
252158,279105,BJ105,25.8,initial,loss,1046,February,
252118,279140,BC377,24.5,initial,loss,1914,January,
252134,NA,BJ085,25.4,initial,loss,1042,November,
252152,279112,BJ091,24.2,recapture,gain,NA,January,Recapture time not recorded
252144,279172,BJ090,24.1,recapture,gain,1900,January,Recapture time estimated from field notes
252156,279121,BJ112,24.2,recapture,gain,1900,January,Recapture time estimated from field notes
252148,NA,BJ104,19.1,recapture,gain,925,December,
252158,279105,BJ105,22.1,recapture,loss,745,January,
252118,279140,BC377,23.3,recapture,loss,1100,January,Recapture time estimated from field notes
252134,NA,BJ085,21.5,recapture,loss,935,December,
